time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
1969/12/31/19:00:42.330000,4156,42,330000000,firefly/imugt_link,-1.33866265268e-08,-3.86841152349e-09,0.760353537382,0.64950942887,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000498812624383,-6.39045864646e-05,-0.000282315585777,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.7721064277e-08,5.99657159366e-08,9.80000018957,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.340000,4157,42,340000000,firefly/imugt_link,-1.2739045117e-08,-1.20465828564e-09,0.760353537393,0.649509428857,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000500490654162,-5.95834370262e-05,-0.000296735433535,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.91791002063e-08,6.22107026073e-08,9.79999995549,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.350000,4158,42,350000000,firefly/imugt_link,-1.20551349134e-08,1.57870031439e-09,0.760353537403,0.649509428845,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000506656413789,-5.65159545099e-05,-0.000291684659358,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.02325768516e-08,6.34548616646e-08,9.79999979684,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.360000,4159,42,360000000,firefly/imugt_link,-1.1347514861e-08,4.44030835702e-09,0.760353537413,0.649509428833,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000504883051468,-5.75751016025e-05,-0.000286363717776,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.09834476609e-08,6.39659941403e-08,9.79999968971,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.370000,4160,42,370000000,firefly/imugt_link,-1.06245800405e-08,7.35248804237e-09,0.760353537424,0.649509428821,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000505807401059,-5.93289359615e-05,-0.00028820480406,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-3.15285456308e-08,6.39790265391e-08,9.79999961754,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.390000,4161,42,380000000,firefly/imugt_link,-9.93630348201e-09,1.01498269391e-08,0.760353537434,0.649509428809,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000504163728264,-6.18097673496e-05,-0.000287778031731,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.98440264605e-08,5.88974041221e-08,9.79999997317,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.390000,4162,42,390000000,firefly/imugt_link,-9.30617457719e-09,1.2754897759e-08,0.760353537445,0.649509428797,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000507060505069,-6.12187567998e-05,-0.000289008029601,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.78817228673e-08,5.31703060947e-08,9.80000012216,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.410000,4163,42,400000000,firefly/imugt_link,-8.74544681567e-09,1.51303307271e-08,0.760353537455,0.649509428784,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000505880043724,-5.74088116253e-05,-0.000284114770536,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.57330009184e-08,4.70262068131e-08,9.80000018187,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.420000,4164,42,410000000,firefly/imugt_link,-8.25972582904e-09,1.72569317772e-08,0.760353537465,0.649509428772,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000504982761963,-5.34196999339e-05,-0.000282456989016,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.34653383651e-08,4.0631649914e-08,9.80000020385,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.420000,4165,42,420000000,firefly/imugt_link,-7.84197133408e-09,1.90788052372e-08,0.760353537477,0.649509428759,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000511997295791,-5.00936668456e-05,-0.000285244077703,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.98768333744e-08,3.31660936242e-08,9.8000000895,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.430000,4166,42,430000000,firefly/imugt_link,-7.48700164184e-09,2.05602727628e-08,0.760353537489,0.649509428744,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000508056969807,-4.60196908538e-05,-0.000283194341463,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.58783662766e-08,2.53952410269e-08,9.8000000092,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.440000,4167,42,440000000,firefly/imugt_link,-7.19101148068e-09,2.16788218201e-08,0.760353537504,0.649509428726,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000505107333944,-4.05568926406e-05,-0.000285001051944,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.16097194099e-08,1.74774545486e-08,9.79999995373,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.460000,4168,42,450000000,firefly/imugt_link,-6.9512763232e-09,2.24199611603e-08,0.760353537522,0.649509428706,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000509744648254,-4.24114952077e-05,-0.000286236126065,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-7.165552243e-09,9.50846668939e-09,9.79999991582,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.470000,4169,42,460000000,firefly/imugt_link,-6.76594691736e-09,2.27738248208e-08,0.760353537542,0.649509428683,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000507329993991,-4.0953004795e-05,-0.00028058292869,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-2.60885609794e-09,1.54152445918e-09,9.79999989007,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.470000,4170,42,470000000,firefly/imugt_link,-6.63378821431e-09,2.27335785051e-08,0.760353537564,0.649509428656,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000516156594881,-3.88698900406e-05,-0.000277153533558,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.01115068264e-09,-6.38363911216e-09,9.79999987267,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.480000,4171,42,480000000,firefly/imugt_link,-6.55389816036e-09,2.22948872834e-08,0.76035353759,0.649509428627,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000511508944826,-3.58918534497e-05,-0.000279877198231,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.65248370385e-09,-1.42300253027e-08,9.79999986093,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.490000,4172,42,490000000,firefly/imugt_link,-6.52555812746e-09,2.14553560926e-08,0.760353537618,0.649509428594,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000507996529791,-3.83618470553e-05,-0.000278842580151,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.12863435139e-08,-2.19758233936e-08,9.79999985304,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.500000,4173,42,500000000,firefly/imugt_link,-6.54825253565e-09,2.02135747616e-08,0.760353537649,0.649509428557,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000503935435996,-4.09156764507e-05,-0.000277376124827,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.59022450446e-08,-2.96253209193e-08,9.79999984773,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.510000,4174,42,510000000,firefly/imugt_link,-6.63819016683e-09,1.86435849233e-08,0.760353537681,0.649509428519,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000507027378394,-4.41583768701e-05,-0.000277462276759,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.84158942657e-08,-3.5618913623e-08,9.80000004394,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.520000,4175,42,520000000,firefly/imugt_link,-6.802658879e-09,1.67785550912e-08,0.760353537714,0.649509428481,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000511002485781,-4.86493837013e-05,-0.000284539016541,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.06927241132e-08,-4.13796830605e-08,9.80000013207,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1969/12/31/19:00:42.530000,4176,42,530000000,firefly/imugt_link,-7.04480277368e-09,1.46337837468e-08,0.760353537747,0.649509428442,"(-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0)",-0.000509504154925,-5.18785648202e-05,-0.000286401894453,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.27955235814e-08,-4.69575250725e-08,9.80000017165,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
